# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos	176	3	1	0	0.9676	0.9270	0.9430	0.9930	1.0090
cosmos	177	3	1	0	1.1310	0.1480	0.6870	1.3400	1.4430
cosmos	178	3	1	0	0.9910	0.6560	0.8540	1.1130	1.2350
cosmos	179	3	1	0	0.9024	0.8460	0.8700	0.9340	0.9530
cosmos	180	3	1	0	0.6776	0.6540	0.6580	0.6980	0.7020
cosmos	181	3	1	0	1.6896	0.7200	1.1470	2.1790	2.4560
cosmos	182	3	1	0	0.7947	0.7570	0.7720	0.8200	0.8360
cosmos	183	3	1	0	0.2158	0.1930	0.2030	0.2340	0.2380
cosmos	184	3	1	0	2.0331	1.6910	1.8450	2.3030	2.4750
cosmos	185	3	1	0	1.2892	0.7490	1.0490	1.3800	1.4340
cosmos	186	3	1	0	1.7729	1.7070	1.7310	1.8160	1.8450
cosmos	187	3	1	0	2.6943	2.8380	2.8440	2.9570	3.0300
cosmos	188	3	1	0	0.7741	0.7200	0.7340	0.8340	0.8860
cosmos	189	3	1	0	1.4823	1.2760	1.3530	1.5810	1.9220
cosmos	190	3	1	0	0.6939	0.3880	0.5240	0.8690	0.9670
cosmos	191	3	1	0	1.0034	0.9430	0.9650	1.0410	1.0550
cosmos	192	3	1	0	0.7606	0.7250	0.7400	0.7830	0.7890
cosmos	193	3	1	0	0.8473	0.1270	0.1520	0.9580	1.0230
cosmos	194	3	1	0	3.4074	3.1240	3.3000	3.5130	3.5960
cosmos	195	3	1	0	0.3735	0.3530	0.3580	0.3910	0.3950
cosmos	196	3	1	0	2.1237	2.0030	2.0430	2.2020	2.2680
cosmos	197	3	1	0	2.2156	1.7660	2.0020	2.4010	2.5280
cosmos	198	3	0	0	0.5515	0.5270	0.5330	0.5720	0.5850
cosmos	199	3	1	0	0.9826	0.7780	0.9270	1.0360	1.1780
cosmos	200	3	1	0	0.9390	0.8890	0.9060	0.9920	1.0260
cosmos	201	3	1	0	1.3979	1.1220	1.1470	1.2600	1.2790
cosmos	202	3	1	0	0.7744	0.0790	0.1950	0.7880	0.8530
cosmos	203	3	1	0	1.9903	1.5760	1.7340	2.2840	2.5920
cosmos	204	3	1	0	2.0926	1.9700	2.0410	2.1500	2.2010
cosmos	205	3	1	0	1.4259	0.0660	1.2630	1.3710	1.3840
cosmos	206	3	1	0	3.5967	3.2140	3.3580	3.8390	4.0780
cosmos	207	3	1	0	0.6575	0.4700	0.5790	0.7410	0.8170
cosmos	208	3	1	0	1.6873	1.4980	1.5580	1.7810	1.8240
cosmos	209	3	1	0	0.6450	0.3610	0.5460	0.7640	0.9130
cosmos	210	3	1	0	3.0452	1.6040	2.7470	3.4090	3.8330
cosmos	211	3	1	0	0.9319	0.2030	0.2430	1.2570	1.3300
cosmos	212	3	1	0	2.3074	2.1130	2.2130	2.4020	2.5110
cosmos	213	3	1	0	1.5119	1.2310	1.3430	1.5160	1.5330
cosmos	214	3	1	0	0.7931	0.7140	0.7420	0.8420	0.8960
cosmos	215	3	1	0	0.7546	0.7020	0.7220	0.7800	0.8910
cosmos	216	3	1	0	0.3709	0.3430	0.3550	0.3900	0.3950
cosmos	217	3	1	0	1.4397	0.9780	1.0800	1.7390	1.9160
cosmos	218	3	1	0	2.8430	2.7380	2.7820	2.9080	2.9510
cosmos	219	3	1	0	1.9299	1.6450	1.8020	2.0610	2.1750
cosmos	220	3	1	0	1.7791	1.1490	1.3450	2.0820	2.2290
cosmos	221	3	1	0	0.4516	0.3220	0.3740	0.5190	3.2130
cosmos	222	3	1	0	2.9603	2.7300	2.8590	3.0630	3.1350
cosmos	223	3	1	0	0.9098	0.6790	0.8480	0.9790	1.0240
cosmos	224	3	1	0	2.1155	1.4440	1.8840	2.3300	2.4810
cosmos	225	3	1	0	2.5757	2.4910	2.5230	2.6270	2.6890
cosmos	226	3	1	0	1.0712	1.0050	1.0310	1.1130	1.1410
cosmos	227	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	228	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	229	3	1	0	0.3865	0.1840	0.2380	0.5630	0.6620
cosmos	230	3	1	0	0.2289	0.1970	0.2090	0.2470	0.2850
cosmos	231	3	1	0	0.0232	0.0100	0.0120	0.0430	1.8920
cosmos	232	3	1	0	0.4616	0.4150	0.4330	0.4900	0.5070
cosmos	233	3	1	0	0.5713	0.1640	0.3130	0.8230	4.8890
cosmos	234	3	1	0	2.2270	1.9480	2.1120	2.3320	2.3960
cosmos	235	3	1	0	1.6017	1.4410	1.5360	1.6720	1.7170
